date, pm25, pm10, o3, no2, so2, co
2024/7/10, 20, 15, , 1, 1, 2
2024/7/11, 31, 18, , 2, 1, 2
2024/7/12, 38, 16, , 1, 1, 2
2024/7/13, 35, 15, , 1, 1, 2
2024/7/14, 42, 18, , 4, 4, 4
2024/7/15, 35, 17, , 1, 1, 2
2024/7/16, 31, 17, , 3, 2, 2
2024/7/17, 29, 11, , 1, 2, 2
2024/7/18, 16, 16, , 1, 1, 2
2024/7/19, 24, 14, , 2, 1, 1
2024/7/20, 25, 19, , 1, 1, 1
2024/7/21, 30, 24, , 3, 1, 1
2024/7/22, 46, 25, , 1, 1, 1
2024/7/23, 43, 20, , 2, 1, 1
2024/7/24, 32, 12, , 1, , 1
2024/7/25, 21, 10, , , , 1
2024/7/26, 27, 18, , , , 
2024/7/27, 31, 24, , 1, 1, 
2024/7/28, 45, 23, , 4, 1, 1
2024/7/29, 42, 18, , 6, 1, 2
2024/7/30, 46, 9, , 1, 1, 1
2024/7/31, 22, 21, , 1, 1, 1
2024/8/1, 48, 31, , 1, 1, 1
2024/8/2, 60, 35, , 5, 2, 2
2024/8/3, 71, 29, , 8, 2, 2
2024/8/4, 63, 38, , 7, 2, 2
2024/8/5, 76, 23, , 1, 1, 1
2024/8/6, 58, 23, , 4, 1, 2
2024/8/7, 55, 39, , 8, 3, 3
2024/8/8, 79, 33, , 8, 2, 4
2024/8/9, 66, 37, , 9, 1, 4
2024/8/10, 73, 46, , 6, 1, 3
2024/8/11, 91, 34, , 8, 2, 4
2024/8/12, 73, 36, , 10, 2, 3
2024/8/13, 74, 31, , 8, 1, 3
2024/8/14, 67, 21, , 6, 2, 2
2024/8/15, 51, 8, , 2, 1, 1
2024/8/16, 22, 13, , 4, 2, 1
2024/8/17, 33, 11, , 3, 2, 1
2024/8/18, 25, 15, , 2, 1, 1
2024/8/19, 34, 10, , 1, , 1
2024/8/20, 28, 13, , 3, 1, 
2024/8/21, 32, 17, , 3, 1, 
2024/8/22, 42, 31, , 6, 2, 3
2024/8/23, 68, 29, , 5, 1, 3
2024/8/24, 68, 30, , 6, 2, 2
2024/8/25, 76, 32, , 7, 2, 3
2024/8/26, 86, 37, , 7, 2, 4
2024/8/27, 91, 35, , 9, 2, 5
2024/8/28, 73, 37, , 4, 1, 4
2024/8/29, 78, 19, , 3, 3, 2
2024/8/30, 54, 25, , 9, 3, 3
2024/8/31, 58, 24, , 9, 2, 3
2024/9/1, 61, 39, , 8, 2, 4
2024/9/2, 84, 29, , 3, 1, 3
2024/9/3, 61, 26, , 2, 1, 2
2024/9/4, 49, 26, , 1, 1, 2
2024/9/5, 44, 19, , 1, 1, 2
2024/9/6, 34, 14, , 1, 1, 2
2024/9/7, 30, 15, , 1, 1, 2
2024/9/8, 32, 14, , 1, 1, 2
2024/9/9, 30, 32, , 4, 1, 2
2024/9/10, 75, 37, , 9, 3, 4
2024/9/11, 88, 37, , 4, 2, 3
2024/9/12, 87, 21, , 1, 1, 1
2024/9/13, 37, 20, , 3, 1, 1
2024/9/14, 34, 23, , 5, 1, 1
2024/9/15, 53, 24, , 2, 1, 1
2024/9/16, 51, 22, , 1, 1, 1
2024/9/17, 40, 28, , 2, 1, 1
2024/9/18, 44, 23, , 3, 1, 1
2024/9/19, 52, 15, , 3, 1, 1
2024/9/20, 35, 18, , 3, 1, 1
2024/9/21, 48, 7, , 2, 1, 2
2024/9/22, 24, 15, , 2, , 2
2024/9/23, 35, 12, , 4, 1, 2
2024/9/24, 35, 18, , 8, 1, 3
2024/9/25, 50, 18, , 2, 1, 2
2024/9/26, 58, 16, , 2, 1, 2
2024/9/27, 42, 18, , 1, 1, 1
2024/9/28, 44, 20, , 1, 1, 1
2024/9/29, 45, 14, , , , 
2024/9/30, 25, 12, , 1, , 1
2024/4/1, 71, 46, 19, 7, 1, 5
2024/4/2, 100, 26, 15, 2, , 3
2024/4/3, 72, 33, 23, 3, , 3
2024/4/4, 85, 21, 29, 3, , 4
2024/4/5, 64, 24, 32, 6, , 4
2024/4/6, 71, 14, 22, 8, , 4
2024/4/7, 47, 25, 25, 8, 1, 4
2024/4/8, 71, 21, 44, 5, 1, 4
2024/4/9, 50, 38, 62, 6, 1, 3
2024/4/10, 68, 34, 49, 5, 1, 3
2024/4/11, 71, 37, 37, 3, , 2
2024/4/12, 83, 43, 44, 4, , 2
2024/4/13, 105, 26, 32, 5, , 2
2024/4/14, 73, 42, 37, 11, 1, 3
2024/4/15, 92, 34, 26, 4, , 1
2024/4/16, 83, 24, 21, 4, 1, 1
2024/4/17, 70, 32, 30, 8, 1, 2
2024/4/18, 75, 41, 26, 8, 1, 2
2024/4/19, 56, 47, 23, 12, 1, 3
2024/4/20, 87, 23, 18, 6, 1, 1
2024/4/21, 51, 27, 15, 7, , 1
2024/4/22, 68, 25, 18, 7, , 2
2024/4/23, 71, 25, 37, 3, , 2
2024/4/24, 57, 34, 33, 6, , 3
2024/4/25, 87, 16, 21, 7, , 3
2024/4/26, 54, 14, 27, 5, , 1
2024/4/27, 42, 15, 33, 2, , 1
2024/4/28, 42, 22, 24, 3, , 2
2024/4/29, 54, 18, 28, 3, , 2
2024/4/30, 51, 19, 30, 3, , 2
2024/5/1, 59, 19, 35, 3, 1, 2
2024/5/2, 48, 25, 36, 3, 1, 2
2024/5/3, 54, 32, 26, 4, 1, 2
2024/5/4, 65, 20, 20, 5, , 2
2024/5/5, 59, 29, 30, 5, 1, 3
2024/5/6, 77, 33, 26, 4, 1, 3
2024/5/7, 78, 40, 43, 5, 1, 5
2024/5/8, 84, 45, 45, 3, 1, 3
2024/5/9, 77, 30, 35, 3, 1, 2
2024/5/10, 47, 30, 31, 6, 2, 3
2024/5/11, 53, 28, 19, 3, 1, 3
2024/5/12, 58, 41, 27, 4, 1, 3
2024/5/13, 48, 34, 39, 3, 1, 2
2024/5/14, 46, 37, 46, 9, 1, 3
2024/5/15, 65, 46, 51, 4, 1, 3
2024/5/16, 69, 36, 36, 6, 1, 3
2024/5/17, 54, 44, 35, 5, 1, 3
2024/5/18, 73, 32, 24, 3, 1, 3
2024/5/19, 58, 20, 18, 4, , 3
2024/5/20, 51, 11, 13, 5, 1, 4
2024/5/21, 35, 9, 15, 4, , 4
2024/5/22, 31, 17, 11, 7, 1, 3
2024/5/23, 50, 19, 8, 8, 1, 3
2024/5/24, 63, 21, 13, 8, 1, 3
2024/5/25, 65, 21, 9, 5, 1, 2
2024/5/26, 52, 10, 9, 2, , 1
2024/5/27, 28, 27, 33, 4, 1, 2
2024/5/28, 51, 27, 44, 2, 1, 1
2024/5/29, 44, 32, 20, 6, 1, 3
2024/5/30, 69, 21, 19, 5, 1, 3
2024/5/31, 54, 8, 26, 2, , 2
2024/6/1, 20, 7, 32, 1, , 3
2024/6/2, 16, 19, 40, 4, 1, 3
2024/6/3, 42, 23, 25, 8, 1, 3
2024/6/4, 52, 24, 16, 8, , 4
2024/6/5, 69, 12, 26, 5, , 3
2024/6/6, 44, 18, 35, 2, 1, 1
2024/6/7, 44, 19, 32, 2, 1, 1
2024/6/8, 46, 11, 18, 4, 1, 1
2024/6/9, 32, 10, 9, 2, 1, 1
